,load_position_id,city_count,city_name,0,1
268,1345,16,焦作,113.211837769,35.2346076965
269,1213,16,榆林,109.745925903,38.2794380188
270,1109,10,鹤壁,114.297767639,35.7554244995
271,1185,19,安阳,114.317123413,36.1251335144
272,2877,19,天台,120.985565186,29.1517791748
273,1113,22,洛阳,112.447525024,34.6573677063
274,1281,14,三门峡,111.181259155,34.7833213806
275,1203,12,都匀,107.477561951,26.1536579132
276,1274,22,宜昌,111.31098175,30.7327575684
277,1915,11,安吉县-同城,119.5831604,30.6263694763
278,6761,19,安富长沙场地,113.224945068,28.3227596283
279,2904,59,马集库/大众代办发运,119.191230774,32.2783355713
280,1101,17,重庆,106.530632019,29.5446052551
281,1073,53,天津,117.21081543,39.1439285278
282,1443,19,新泰,117.613014221,35.8958091736
283,1463,9,涿州,115.999053955,39.4824829102
284,2235,12,乌兰浩特,122.086914062,46.0706748962
285,2211,14,呼伦贝尔市,119.760818481,49.2016372681
286,2011,15,金山区,121.248405457,30.8350811005
287,1286,19,肇庆,112.479652405,23.0786628723
288,1411,13,通州市,121.079414368,32.0739784241
289,2052,10,松原市,124.832992554,45.1360473633
290,1656,15,贵港,109.613708496,23.1033725739
291,1249,23,张家口,114.893783569,40.8111877441
292,2199,27,郓城县,115.894630432,35.6129798889
293,1354,13,莱阳,120.751342773,36.9055328369
294,1283,10,揭阳,116.379501343,23.5479984283
295,1118,18,汕头,116.728652954,23.3839073181
296,1211,8,延安,109.500511169,36.6033210754
297,1210,8,渭南,109.483932495,34.5023574829
298,2101,12,黔西南自治州,104.910858154,25.0959758759
299,5226,8,邓州,112.056861877,32.6846504211
300,1108,18,新乡,113.848243713,35.2205238342
301,1339,20,池州市,117.494476318,30.6600189209
302,1342,11,牟平县,121.604103088,37.3870353699
303,1972,11,沈阳经销商,123.398864746,41.8294372559
304,1018,29,沈阳,123.432792664,41.8086433411
305,2559,19,安吉县,119.5831604,30.6263694763
306,1451,20,随州,113.379356384,31.7178573608
307,1248,16,承德,118.125717163,40.9732437134
308,1789,15,晋江,118.558654785,24.729637146
309,2814,20,青浦,121.091423035,31.1308612823
310,1866,14,泗阳,118.656944275,33.7088012695
311,2070,18,奉贤县,121.480583191,30.9238014221
312,1263,22,丽水,119.929573059,28.4563007355
313,1846,6,新郑,113.736114502,34.4594421387
314,1639,6,平阳,120.389389038,27.6377010345
315,1361,29,新昌县,120.975700378,29.41431427
316,7033,5,花博库(大众代发）,119.795600891,31.6956119537
317,1385,8,阳江,111.977012634,21.8715171814
318,2100,11,茂名,110.931243896,21.6682262421
319,1826,24,沭阳县,118.857749939,34.1540145874
320,1154,13,吉林,126.564544678,43.8719863892
321,1438,23,莱芜,117.684669495,36.2336540222
322,1066,5,龙口,120.522796631,37.6104011536
323,1850,5,神木,110.331268311,38.8290367126
324,2797,10,兴安盟,122.06842804,46.0977249146
325,2936,4,昆明1,102.717300415,25.0562534332
326,1129,5,昆明,102.714599609,25.0491523743
327,1065,14,文登,122.010780334,37.1541213989
328,1264,12,漳州,117.676208496,24.5170650482
329,1387,6,莱西,120.442832947,36.8636360168
330,2167,5,长垣县,114.766906738,35.2181282043
331,2281,10,齐河,116.678253174,36.7234535217
332,1110,9,濮阳,115.156600952,35.5922851562
333,1162,9,牡丹江,129.608032227,44.58852005
334,1202,5,凯里市,107.948242188,26.6317424774
335,1306,4,泸州,105.443969727,28.8959293365
336,5249,5,蒙阴,118.036743164,35.7474403381
337,2777,9,南沙区,113.580223083,22.7298946381
338,1189,13,韶关,113.594459534,24.8029594421
339,1196,8,钦州,108.638801575,21.9733505249
340,1193,8,河源,114.713722229,23.7572517395
341,1314,4,汉中,107.045478821,33.0815696716
342,1288,14,江门,113.078125,22.5751171112
343,1873,4,华戎库(塘沽),117.194671631,39.0831451416
344,1289,10,梧州,111.305473328,23.4853954315
345,1762,8,上海市区,121.48789978,31.249162674
346,1265,5,龙岩,117.017997742,25.0786857605
347,2106,10,泗洪,118.312553406,33.4259567261
348,2401,7,苍山,117.998344421,34.8653450012
349,1665,5,兴义,104.857833862,25.0025444031
350,1404,7,东台市,120.563766479,32.7914428711
351,6799,11,郑州中转库,113.649642944,34.7566108704
352,1132,4,宝鸡,107.170646667,34.3640823364
353,1325,5,阿克苏,81.1560134888,40.349445343
354,1326,3,喀什,76.0143432617,39.5131111145
355,2870,9,浏阳,113.721984863,28.2344722748
356,2781,3,莱山,121.451538086,37.4074745178
357,2415,9,广饶,118.538566589,37.162071228
358,1346,6,宁德,119.54208374,26.6565265656
359,1636,3,象山,121.858665466,29.3787708282
360,1468,13,武清,117.034576416,39.4570426941
361,2748,3,黔东南自治州,107.989303589,26.5896434784
362,2028,2,西昌,102.117889404,27.8633766174
363,1206,2,凉山,102.259590149,27.8923931122
364,1891,2,渝北区,106.753799438,29.8162631989
365,1020,6,大连,121.593475342,38.9487113953
366,1330,5,鸡西,130.941772461,45.3215408325
367,1275,6,恩施,109.517433167,30.3089771271
368,2735,3,大连库/大众代办发运,121.567962646,39.047000885
369,1007,2,榆次,112.843734741,37.6508255005
370,1158,6,四平,124.39138031,43.1755256653
371,1151,2,鞍山,123.007766724,41.1187438965
372,1425,2,林州,113.861083984,36.0165596008
373,5246,9,长沙库/大众代办发运,113.224945068,28.3227596283
374,2607,7,南安,118.38898468,25.0179729462
375,1324,2,库尔勒,85.7094192505,41.7055015564
376,3386,8,安富场地,121.16860199,31.2943344116
377,1374,2,湘乡,112.355171204,27.7766799927
378,6762,3,安富萍乡场地,113.859916687,27.6395435333
379,6759,3,安富南沙场地,113.580223083,22.7298946381
380,1284,5,湛江,110.365066528,21.2574634552
381,2193,3,密云县,117.001197815,40.5328445435
382,1294,3,绵阳,104.70552063,31.5047016144
383,1431,2,江油,104.933151245,31.9524269104
384,1388,5,滕州,117.147613525,35.0657920837
385,1266,3,三明,117.642196655,26.2708358765
386,1188,9,东莞,113.763435364,23.0430240631
387,1287,13,佛山,113.134025574,23.0350952148
388,1191,3,梅州,116.126403809,24.3045711517
389,1214,2,武威,102.640144348,37.9331703186
390,1215,2,张掖,100.459892273,38.9393196106
391,1216,3,酒泉,98.5084152222,39.7414741516
392,1377,2,嘉峪关,98.2816314697,39.8023986816
393,1527,3,清远,113.040771484,23.698469162
394,1282,2,潮州,116.630073547,23.6618118286
395,1081,2,仙居县,120.640609741,28.7387428284
396,1046,3,宝应县,119.45565033,33.2258338928
397,7063,1,广德（大众）,119.415390015,30.8795986176
398,1587,1,蒙城县,116.591514587,33.2230453491
399,1155,4,通化,125.857330322,41.7291564941
400,1019,1,营口,122.233390808,40.6686515808
401,1149,2,铁岭市,123.854850769,42.2997550964
402,2191,2,商河,117.208717346,37.3259468079
403,1399,2,扬中市,119.84513855,32.1894683838
404,7035,1,三甲港库/大众代办,121.781478882,31.1965751648
405,2543,1,安亭站,121.16860199,31.2943344116
406,1688,2,济源市,112.405265808,35.1053657532
407,1455,1,建瓯市,118.485145569,27.0449142456
408,1666,6,株洲-同城,113.15335083,27.5359363556
409,3391,1,福清,119.377548218,25.6381206512
